product_code,product_name,vendor,product_type,category,accessoryType,paymentType,description,standard_cost,standard_rep_price,new_cost,new_rep_price,upgrade_cost,upgrade_rep_price,is_active,available_for_all,sales_rep_credit,funding,lease
AC-AMS-4,"ACDI annual software maintenance and support, first year required - SMB - 4 Year",ACDI,Application,PaperCut,Software License,Monthly,,$537.12 ,,$358.08 ,$404.63 ,$358.08 ,$404.63 ,,,,,
AC-AMS-5,"ACDI annual software maintenance and support, first year required - SMB - 5 Year",ACDI,Application,PaperCut,Software License,Monthly,,$1.50 ,,$1.00 ,$1.13 ,$1.00 ,$1.13 ,,,,,
CN-PCMF-JT-Room,Job Ticketing - Print Room,ACDI,License,PaperCut,Software License,Monthly,,"$6,438.00 ",,"$4,292.00 ","$4,849.96 ","$4,292.00 ","$4,849.96 ",,,,,
MMSPlus-9,"Prorated support for Add On to align with
expiration date.05/31/2029
ACDI advanced software maintenance and
support, 9 months",ACDI,License,PaperCut,Software License,Monthly,,$0.27 ,,$0.18 ,$0.20 ,$0.18 ,$0.20 ,,,,,
AMSPlus-4,"Prorated support for Add On to align with
expiration date. 05/31/2029
ACDI advanced software maintenance and
support, 4 years",ACDI,License,PaperCut,Software License,Monthly,,$1.20 ,,$0.80 ,$0.90 ,$0.80 ,$0.90 ,,,,,
EtherFax-10,EtherFax add on connectors,ACDI,License,PaperCut,Software License,Monthly,,$180.00 ,,$120.00 ,$135.60 ,$120.00 ,$135.60 ,,,,,
PCMFC-Lxmk,"PaperCut MFD Emb, Lexmark, Comm, 1-9, per
device",ACDI,Application,PaperCut,Software License,Monthly,,$895.20 ,,$596.80 ,$674.38 ,$596.80 ,$674.38 ,,,,,
PCMFC-LxmkP,"PaperCut SFP Emb, Lexmark Printer, Comm, 1-
9, per device",ACDI,Application,PaperCut,Software License,Monthly,,$456.00 ,,$304.00 ,$343.52 ,$304.00 ,$343.52 ,,,,,
PCMFE-Canon-25-Edu-Gov,"PaperCut MFD Emb, Canon, EduGov, 25-49, per device",ACDI,Application,PaperCut,Software License,Monthly,,$469.20 ,,$312.80 ,$353.46 ,$312.80 ,$353.46 ,,,,,
PCMFE-Canon-10-Edu-Gov,"PaperCut MFD Emb, Canon, EduGov, 10-24, per device",ACDI,Application,PaperCut,Software License,Monthly,,$543.60 ,,$362.40 ,$409.51 ,$362.40 ,$409.51 ,,,,,
PCMFE-Canon,"PaperCut MFD Emb, Canon, EduGov, 1-9, per device",ACDI,Application,PaperCut,Software License,Monthly,,$788.40 ,,$525.60 ,$593.93 ,$525.60 ,$593.93 ,,,,,
AMSPlus-1,ACDI advanced software maintenance and support,ACDI,License,PaperCut,Software License,Monthly,,$0.36 ,,$0.24 ,$0.27 ,$0.24 ,$0.27 ,,,,,
PCMF-Migrate-Canon,"Migrating QTY 5 from Xerox to Canon
PaperCut MFD Emb",ACDI,Application,PaperCut,Software License,Monthly,,$186.00 ,,$124.00 ,$140.12 ,$124.00 ,$140.12 ,,,,,
AMSPlus-5,"ACDI advanced software maintenance and
support, 5 years",ACDI,Application,PaperCut,Software License,Monthly,,$1.50 ,,$1.00 ,$1.13 ,$1.00 ,$1.13 ,,,,,
PCMFE-Canon-10,"PaperCut MFD Emb, Canon, EduGov, 10-24, per device",ACDI,Application,PaperCut,Software License,Monthly,,$543.60 ,,$362.40 ,$409.51 ,$362.40 ,$409.51 ,,,,,
AMSPlus-5,ACDI advanced software maintenance and support - 5 Year EDU,ACDI,Application,PaperCut,Software License,Monthly,,$1.50 ,,$1.00 ,$1.13 ,$1.00 ,$1.13 ,,,,,
AMSPlus-3,ACDI advanced software maintenance and support - 3 Year EDU,ACDI,Application,PaperCut,Software License,Monthly,,$0.90 ,,$0.60 ,$0.68 ,$0.60 ,$0.68 ,,,,,
MMSPlus-3,ACDI advanced software maintenance and support - 3 Month EDU,ACDI,Application,PaperCut,Software License,Monthly,,$0.09 ,,$0.06 ,$0.07 ,$0.06 ,$0.07 ,,,,,
Canon MEAP,PaperCut MEAP App for Canon,ACDI,Application,PaperCut,Software License,Monthly,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,
AMS-3,"ACDI annual software maintenance and support, 3 years",ACDI,Application,PaperCut,Software License,Monthly,,$0.54 ,,$0.36 ,$0.41 ,$0.36 ,$0.41 ,,,,,
,PrinterLogic License,Vasion,License,PrinterLogic,Software License,Monthly,,$15.00 ,,$6.41 ,$11.00 ,$6.41 ,$11.00 ,,,,,
3575B792AA,"Print & Scan, Type 1, 1-9 devices",Canon,Application,Uniflow,Software License,Monthly,,$36.68 ,,$25.67 ,$28.24 ,$25.67 ,$28.24 ,,,,,
3575B806AA,"Print & Scan, Type 1, 10-24 devices",Canon,Application,Uniflow,Software License,Monthly,,$21.35 ,,$14.94 ,$16.43 ,$14.94 ,$16.43 ,,,,,
3575B807AA,"Print & Scan, Type 1, 25-49 devices",Canon,Application,Uniflow,Software License,Monthly,,$16.00 ,,$11.20 ,$12.32 ,$11.20 ,$12.32 ,,,,,
3575B808AA,"Print & Scan, Type 1, 50-74 devices",Canon,Application,Uniflow,Software License,Monthly,,$14.40 ,,$10.08 ,$11.09 ,$10.08 ,$11.09 ,,,,,
3575B809AA,"Print & Scan, Type 1, 75-99 devices",Canon,Application,Uniflow,Software License,Monthly,,$12.80 ,,$8.96 ,$9.86 ,$8.96 ,$9.86 ,,,,,
3575B810AA,"Print & Scan, Type 1, 100-149 devices",Canon,Application,Uniflow,Software License,Monthly,,$11.75 ,,$8.22 ,$9.29 ,$8.22 ,$9.29 ,,,,,
3575B811AA,"Print & Scan, Type 1, 150-199 devices",Canon,Application,Uniflow,Software License,Monthly,,$11.20 ,,$7.84 ,$8.86 ,$7.84 ,$8.86 ,,,,,
3575B812AA,"Print & Scan, Type 1, 200-249 devices",Canon,Application,Uniflow,Software License,Monthly,,$10.68 ,,$7.47 ,$8.44 ,$7.47 ,$8.44 ,,,,,
3575B813AA,"Print & Scan, Type 1, 250-499 devices",Canon,Application,Uniflow,Software License,Monthly,,$10.15 ,,$7.10 ,$8.02 ,$7.10 ,$8.02 ,,,,,
3575B814AA,"Print & Scan, Type 1, 500+ devices",Canon,Application,Uniflow,Software License,Monthly,,$9.60 ,,$6.72 ,$7.59 ,$6.72 ,$7.59 ,,,,,
3575B831AA,"Print & Scan, Type 2, 1-9 devices",Canon,Application,Uniflow,Software License,Monthly,,$18.68 ,,$13.07 ,$14.77 ,$13.07 ,$14.77 ,,,,,
3575B832AA,"Print & Scan, Type 2, 10-24 devices",Canon,Application,Uniflow,Software License,Monthly,,$14.00 ,,$9.80 ,$11.07 ,$9.80 ,$11.07 ,,,,,
3575B833AA,"Print & Scan, Type 2, 25-49 devices",Canon,Application,Uniflow,Software License,Monthly,,$10.93 ,,$7.65 ,$8.64 ,$7.65 ,$8.64 ,,,,,
3575B834AA,"Print & Scan, Type 2, 50-74 devices",Canon,Application,Uniflow,Software License,Monthly,,$9.83 ,,$6.88 ,$7.77 ,$6.88 ,$7.77 ,,,,,
3575B835AA,"Print & Scan, Type 2, 75-99 devices",Canon,Application,Uniflow,Software License,Monthly,,$8.85 ,,$6.19 ,$6.99 ,$6.19 ,$6.99 ,,,,,
3575B836AA,"Print & Scan, Type 2, 100-149 devices",Canon,Application,Uniflow,Software License,Monthly,,$7.98 ,,$5.58 ,$6.31 ,$5.58 ,$6.31 ,,,,,
3575B837AA,"Print & Scan, Type 2, 150-199 devices",Canon,Application,Uniflow,Software License,Monthly,,$7.18 ,,$5.02 ,$5.67 ,$5.02 ,$5.67 ,,,,,
3575B838AA,"Print & Scan, Type 2, 200-249 devices",Canon,Application,Uniflow,Software License,Monthly,,$6.82 ,,$4.77 ,$5.39 ,$4.77 ,$5.39 ,,,,,
3575B839AA,"Print & Scan, Type 2, 250-499 devices",Canon,Application,Uniflow,Software License,Monthly,,$6.49 ,,$4.54 ,$5.13 ,$4.54 ,$5.13 ,,,,,
3575B840AA,"Print & Scan, Type 2, 500+ devices",Canon,Application,Uniflow,Software License,Monthly,,$6.15 ,,$4.30 ,$4.86 ,$4.30 ,$4.86 ,,,,,
3575BA26AA,Cloud Link Print Connection Named License,Canon,License,Uniflow,Software License,Monthly,,$1.70 ,,$1.19 ,$1.34 ,$1.19 ,$1.34 ,,,,,
3575B818AA,"Image Processing, Type 1, 1-9 devices",Canon,Application,Uniflow,Software License,Monthly,,$40.35 ,,$28.24 ,$31.91 ,$28.24 ,$31.91 ,,,,,
3575B819AA,"Image Processing, Type 1, 10-24 devices",Canon,Application,Uniflow,Software License,Monthly,,$23.48 ,,$16.43 ,$18.57 ,$16.43 ,$18.57 ,,,,,
3575B820AA,"Image Processing, Type 1, 25-49 devices",Canon,Application,Uniflow,Software License,Monthly,,$17.60 ,,$12.32 ,$13.92 ,$12.32 ,$13.92 ,,,,,
3575B821AA,"Image Processing, Type 1, 50-74 devices",Canon,Application,Uniflow,Software License,Monthly,,$15.86 ,,$11.10 ,$12.54 ,$11.10 ,$12.54 ,,,,,
3575B822AA,"Image Processing, Type 1, 75-99 devices",Canon,Application,Uniflow,Software License,Monthly,,$14.09 ,,$9.86 ,$11.14 ,$9.86 ,$11.14 ,,,,,
3575B823AA,"Image Processing, Type 1, 100-149 devices",Canon,Application,Uniflow,Software License,Monthly,,$12.92 ,,$9.04 ,$10.22 ,$9.04 ,$10.22 ,,,,,
3575B824AA,"Image Processing, Type 1, 150-199 devices",Canon,Application,Uniflow,Software License,Monthly,,$12.35 ,,$8.64 ,$9.76 ,$8.64 ,$9.76 ,,,,,
3575B825AA,"Image Processing, Type 1, 200-249 devices",Canon,Application,Uniflow,Software License,Monthly,,$11.75 ,,$8.22 ,$9.29 ,$8.22 ,$9.29 ,,,,,
3575B826AA ,"Image Processing, Type 1, 250-499 devices",Canon,Application,Uniflow,Software License,Monthly,,$11.18 ,,$7.82 ,$8.84 ,$7.82 ,$8.84 ,,,,,
3575B827AA,"Image Processing, Type 1, 500+ devices",Canon,Application,Uniflow,Software License,Monthly,,$10.58 ,,$7.40 ,$8.36 ,$7.40 ,$8.36 ,,,,,
3575B793AA,"Image Processing, Type 2, 1-9 devices",Canon,Application,Uniflow,Software License,Monthly,,$20.19 ,,$14.13 ,$15.97 ,$14.13 ,$15.97 ,,,,,
